"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,110,"florida 24","republican",146129,0.596369445323944
2010,110,"florida 24","democrat",98787,0.403161227703094
2010,111,"florida 25","democrat",61138,0.425891488790512
2010,111,"florida 25","republican",74859,0.521472930908203
2010,111,"florida 25","tea party",4312,0.0300376862287521
2010,111,"florida 25","florida whig party",3244,0.0225979257375002
2010,112,"georgia 1","republican",117270,0.716288268566132
2010,112,"georgia 1","democrat",46449,0.283711731433868
2010,113,"georgia 2","democrat",86520,0.514409065246582
2010,113,"georgia 2","republican",81673,0.48559096455574
2010,114,"georgia 3","democrat",73932,0.305202722549438
2010,114,"georgia 3","write-in",3,1.23999998322688e-05
2010,114,"georgia 3","republican",168304,0.694784879684448
2010,115,"georgia 4","republican",44707,0.253344804048538
2010,115,"georgia 4","democrat",131760,0.746655166149139
2010,116,"georgia 5","democrat",130782,0.737198710441589
2010,116,"georgia 5","republican",46622,0.262801289558411
2010,117,"georgia 6","republican",198100,0.999051868915558
2010,117,"georgia 6","write-in",188,0.000948116008657962
2010,118,"georgia 7","republican",160898,0.670704543590546
2010,118,"georgia 7","democrat",78996,0.329295426607132
2010,119,"georgia 8","republican",102770,0.526971578598022
2010,119,"georgia 8","democrat",92250,0.473028421401978
2010,120,"georgia 9","republican",173512,1
2010,121,"georgia 10","democrat",66905,0.326418399810791
2010,121,"georgia 10","republican",138062,0.673581600189209
2010,122,"georgia 11","republican",163515,1
2010,123,"georgia 12","republican",70938,0.43414506316185
2010,123,"georgia 12","democrat",92459,0.565854966640472
2010,124,"georgia 13","republican",61771,0.305698662996292
2010,124,"georgia 13","democrat",140294,0.69430136680603
2010,125,"hawaii 1","democrat",94140,0.532276391983032
2010,125,"hawaii 1","republican",82723,0.467723608016968
2010,126,"hawaii 2","libertarian",3254,0.017756387591362
2010,126,"hawaii 2","republican",46404,0.253216773271561
2010,126,"hawaii 2","democrat",132290,0.721878468990326
2010,126,"hawaii 2","nonpartisan",1310,0.00714839203283191
2010,127,"idaho 1","republican",126231,0.510174691677094
2010,127,"idaho 1","democrat",102135,0.412788420915604
2010,127,"idaho 1","libertarian",4696,0.0189793352037668
2010,127,"idaho 1","independent",14365,0.0580575279891491
2010,128,"idaho 2","republican",137468,0.688313961029053
2010,128,"idaho 2","independent",13500,0.0675956457853317
2010,128,"idaho 2","democrat",48749,0.244090393185616
2010,129,"illinois 1","democrat",148170,0.803585946559906
2010,129,"illinois 1","green",6963,0.0377631708979607
2010,129,"illinois 1","republican",29253,0.158650875091553
2010,130,"illinois 2","democrat",150666,0.805213987827301
2010,130,"illinois 2","republican",25883,0.138328179717064
2010,130,"illinois 2","green",10564,0.0564578622579575
2010,131,"illinois 3","democrat",116120,0.696885883808136
2010,131,"illinois 3","green",10028,0.0601823218166828
2010,131,"illinois 3","republican",40479,0.242931813001633
2010,132,"illinois 4","republican",11711,0.143180266022682
2010,132,"illinois 4","green",6808,0.0832355245947838
2010,132,"illinois 4","democrat",63273,0.773584187030792
2010,133,"illinois 5","democrat",108360,0.706227421760559
2010,133,"illinois 5","green",6140,0.040016945451498
2010,133,"illinois 5","republican",38935,0.253755658864975
2010,134,"illinois 6","democrat",65379,0.363549917936325
2010,134,"illinois 6","republican",114456,0.636450052261353
2010,135,"illinois 7","independent",4428,0.0240849833935499
2010,135,"illinois 7","democrat",149846,0.815049290657043
2010,135,"illinois 7","republican",29575,0.1608657091856
2010,136,"illinois 8","democrat",97825,0.483241528272629
2010,136,"illinois 8","republican",98115,0.484674096107483
2010,136,"illinois 8","green",6495,0.032084371894598
2010,137,"illinois 9","green",4472,0.0252360235899687
2010,137,"illinois 9","republican",55182,0.311398535966873
2010,137,"illinois 9","democrat",117553,0.663365423679352
2010,138,"illinois 10","write-in",1,4.6499999371008e-06
2010,138,"illinois 10","republican",109941,0.510802268981934
2010,138,"illinois 10","democrat",105290,0.489193052053452
2010,139,"illinois 11","democrat",96019,0.426510363817215
2010,139,"illinois 11","republican",129108,0.573489606380463
2010,140,"illinois 12","republican",74046,0.365289449691772
2010,140,"illinois 12","democrat",121272,0.598268449306488
2010,140,"illinois 12","green",7387,0.036442119628191
2010,141,"illinois 13","democrat",86281,0.361897200345993
2010,141,"illinois 13","republican",152132,0.638102769851685
2010,142,"illinois 14","write-in",50,0.000228296994464472
2010,142,"illinois 14","republican",112369,0.513069987297058
2010,142,"illinois 14","democrat",98645,0.450407058000565
2010,142,"illinois 14","green",7949,0.0362946502864361
2010,143,"illinois 15","democrat",75948,0.356792867183685
2010,143,"illinois 15","republican",136915,0.643207132816315
2010,144,"illinois 16","republican",138299,0.6500204205513
2010,144,"illinois 16","democrat",66037,0.310381144285202
2010,144,"illinois 16","green",8425,0.039598423987627
2010,145,"illinois 17","democrat",85454,0.429637312889099
2010,145,"illinois 17","republican",104583,0.525812208652496
2010,145,"illinois 17","green",8861,0.0445504747331142
2010,146,"illinois 18","republican",152868,0.691178739070892
2010,146,"illinois 18","green",11256,0.0508929789066315
2010,146,"illinois 18","democrat",57046,0.257928282022476
2010,147,"illinois 19","democrat",67132,0.287752151489258
2010,147,"illinois 19","republican",166166,0.712247848510742
2010,148,"indiana 1","republican",65558,0.386301100254059
2010,148,"indiana 1","libertarian",4762,0.0280601270496845
2010,148,"indiana 1","democrat",99387,0.585638761520386
2010,149,"indiana 2","republican",88803,0.468392491340637
2010,149,"indiana 2","democrat",91341,0.481779187917709
2010,149,"indiana 2","libertarian",9447,0.0498283132910728
2010,150,"indiana 3","democrat",61267,0.331085294485092
2010,150,"indiana 3","libertarian",7631,0.0412377268075943
2010,150,"indiana 3","write-in (independent)",1,5.40000019100262e-06
2010,150,"indiana 3","write-in (independent)",10,5.40000000910368e-05
2010,150,"indiana 3","republican",116140,0.627617537975311
2010,151,"indiana 4","republican",138732,0.685699045658112
2010,151,"indiana 4","democrat",53167,0.262784063816071
2010,151,"indiana 4","libertarian",10423,0.0515168905258179
2010,152,"indiana 5","libertarian",18266,0.0772650539875031
2010,152,"indiana 5","republican",146899,0.621381759643555
2010,152,"indiana 5","democrat",60024,0.253901124000549
2010,152,"indiana 5","independent",11218,0.0474520623683929
2010,153,"indiana 6","libertarian",6635,0.0350485183298588
2010,153,"indiana 6","republican",126027,0.665721118450165
2010,153,"indiana 6","democrat",56647,0.299230366945267
2010,154,"indiana 7","libertarian",4815,0.0329706445336342
2010,154,"indiana 7","republican",55213,0.37807023525238
2010,154,"indiana 7","democrat",86011,0.588959097862244
2010,155,"indiana 8","libertarian",10240,0.0502542145550251
2010,155,"indiana 8","republican",117259,0.575464725494385
2010,155,"indiana 8","democrat",76265,0.374281018972397
2010,156,"indiana 9","democrat",95353,0.422791451215744
2010,156,"indiana 9","write-in (independent)",69,0.00030594298732467
2010,156,"indiana 9","libertarian",12070,0.0535179041326046
2010,156,"indiana 9","republican",118040,0.523384690284729
2010,157,"iowa 1","write-in",76,0.000360356993041933
2010,157,"iowa 1","libertarian",4087,0.0193786695599556
2010,157,"iowa 1","republican",100219,0.475192278623581
2010,157,"iowa 1","democrat",104428,0.495149403810501
2010,157,"iowa 1","nominated by petition",2092,0.009919298812747
2010,158,"iowa 2","write-in",198,0.000871574971824884
2010,158,"iowa 2","libertarian",4356,0.0191746447235346
2010,158,"iowa 2","constitution",2463,0.0108418622985482
2010,158,"iowa 2","republican",104319,0.459201067686081
2010,158,"iowa 2","democrat",115839,0.509910881519318
2010,159,"iowa 3","republican",111925,0.464889764785767
2010,159,"iowa 3","democrat",122147,0.507347702980042
2010,159,"iowa 3","write-in",426,0.00176942604593933
2010,159,"iowa 3","socialist workers",6258,0.0259931217879057
2010,160,"iowa 4","nominated by petition",5499,0.0236496794968843
2010,160,"iowa 4","democrat",74300,0.319543778896332
2010,160,"iowa 4","write-in",132,0.000567695999052376
2010,160,"iowa 4","republican",152588,0.656238853931427
2010,161,"iowa 5","republican",128363,0.657465994358063
2010,161,"iowa 5","write-in",94,0.000481461000163108
2010,161,"iowa 5","nominated by petition",3622,0.0185516215860844
2010,161,"iowa 5","democrat",63160,0.32350093126297
2010,162,"kansas 1","libertarian",6537,0.0338904857635498
2010,162,"kansas 1","republican",142281,0.7376429438591
2010,162,"kansas 1","democrat",44068,0.228466555476189
2010,163,"kansas 2","democrat",66588,0.323281943798065
2010,163,"kansas 2","republican",130034,0.631309628486633
2010,163,"kansas 2","libertarian",9353,0.0454084239900112
2010,164,"kansas 3","democrat",90193,0.386621505022049
2010,164,"kansas 3","libertarian",6846,0.0293460786342621
2010,164,"kansas 3","republican",136246,0.584032416343689
2010,165,"kansas 4","democrat",74143,0.364548653364182
2010,165,"kansas 4","republican",119575,0.587930142879486
2010,165,"kansas 4","libertarian",4624,0.0227354299277067
2010,165,"kansas 4","reform",5041,0.0247857496142387
2010,166,"kentucky 1","republican",153840,0.712453126907349
2010,166,"kentucky 1","democrat",62090,0.287546902894974
2010,167,"kentucky 2","republican",155906,0.678870499134064
2010,167,"kentucky 2","democrat",73749,0.321129530668259
